,date,companyId,jobId,country,stateProvince,city,avgOverallRating,numReviews,industry,normTitle,normTitleCategory,descriptionCharacterLength,descriptionWordCount,experienceRequired,estimatedSalary,salaryCurrency,jobLanguage,supervisingJob,licenseRequiredJob,educationRequirements,jobAgeDays,clicks,localClicks
1,11/1/16,company00000,job0000000,CA,ON,Cambridge,0,NA,NA,driver,driver,334,73,NA,40600,,EN,0,0,None,99,4,1
2,11/1/16,company00002,job0000002,US,AZ,Peoria,0,NA,NA,customer service representative,customer,3457,614,NA,22800,,EN,0,0,High School,99,12,2
3,11/1/16,company00003,job0000003,US,GA,Cartersville,3.7,71,NA,host/hostess,food,482,132,NA,22500,,EN,0,0,None,99,15,3
4,11/1/16,company00005,job0000005,US,AR,Malvern,5,46,NA,data entry clerk,admin,1115,222,NA,26100,,EN,0,0,High School,99,25,8
5,11/1/16,company00005,job0000006,US,AR,Augusta,5,46,NA,data entry clerk,admin,1148,228,NA,26200,,EN,0,0,High School,99,33,1
6,11/1/16,company00006,job0000007,CA,BC,Delta,3.7,120,NA,rigger,install,2043,340,NA,34300,,EN,0,0,High School,99,26,0
7,11/1/16,company00007,job0000008,US,GA,McDonough,0,NA,NA,nursing assistant,mednurse,2034,293,NA,25000,,EN,0,1,None,99,78,7
8,11/2/16,company00007,job0000008,US,GA,McDonough,0,NA,NA,nursing assistant,mednurse,2034,293,NA,25000,,EN,0,1,None,100,9,2
9,11/1/16,company00011,job0000012,DE,BY,Bayreuth,4,50,NA,NA,NA,2658,372,NA,20400,,DE,NA,NA,,99,6,3
10,11/1/16,company00018,job0000019,DE,BW,Schwäbisch Hall,0,NA,NA,NA,NA,554,109,NA,26400,,DE,NA,NA,,99,7,6
11,11/2/16,company00018,job0000019,DE,BW,Schwäbisch Hall,0,NA,NA,NA,NA,554,109,NA,26400,,DE,NA,NA,,100,20,3
12,11/1/16,company00019,job0000020,US,CO,Palmer Lake,0,NA,NA,handy man,construction,687,186,3,45700,,EN,0,1,None,99,21,2
13,11/2/16,company00019,job0000020,US,CO,Palmer Lake,0,NA,NA,handy man,construction,687,186,3,45700,,EN,0,1,None,100,18,2
14,11/1/16,company00021,job0000022,US,TX,San Antonio,0,NA,NA,concession manager,retail,1108,217,NA,22700,,EN,0,1,High School,99,18,0
15,11/2/16,company00022,job0000023,US,PA,Pittsburgh,3.5,50,CONSTRUCTION,plumber,install,1940,265,5,58900,,EN,0,1,None,99,19,3
16,11/1/16,company00023,job0000024,US,FL,Miami,0,NA,NA,staffing coordinator,admin,4649,768,1,33800,,EN,1,1,High School,98,20,20
17,11/1/16,company00027,job0000028,CA,ON,Innisfil,0,NA,NA,senior consultant,management,5792,874,5,83400,,EN,0,1,Higher Education,99,23,3
18,11/2/16,company00027,job0000028,CA,ON,Innisfil,0,NA,NA,senior consultant,management,5792,874,5,83400,,EN,0,1,Higher Education,100,15,2
19,11/1/16,company00029,job0000030,CA,NB,Saint John,3.6,16,NA,program facilitator,service,4103,661,5,42000,,EN,0,1,Higher Education,99,7,1
20,11/1/16,company00030,job0000031,US,SC,Greenville,0,NA,NA,outside sales representative,sales,742,156,NA,39900,,EN,0,1,None,99,11,1
21,11/1/16,company00032,job0000033,US,NJ,Montville,2.7,49,REAL_ESTATE,hvac technician,install,1284,265,NA,30200,,EN,0,1,High School,99,9,0
22,11/1/16,company00034,job0000035,US,NC,High Point,0,NA,NA,warehouse worker,warehouse,2324,360,NA,22500,,EN,0,0,High School,99,32,8
23,11/1/16,company00035,job0000036,US,NJ,Passaic,3.7,135,NA,social worker,service,1772,319,NA,28600,,EN,0,1,Higher Education,98,28,1
24,11/1/16,company00036,job0000037,US,PA,Philadelphia,4,21,NA,child welfare specialist,service,1533,281,2,36200,USD,EN,0,0,Higher Education,99,6,4
25,11/2/16,company00036,job0000037,US,PA,Philadelphia,4,21,NA,child welfare specialist,service,1533,281,2,36200,USD,EN,0,0,Higher Education,100,13,3
26,11/1/16,company00038,job0000039,US,TX,Conroe,0,NA,NA,technician,install,783,201,NA,21400,,EN,0,0,High School,99,18,2
