,date,companyId,jobId,country,stateProvince,city,avgOverallRating,numReviews,industry,normTitle,normTitleCategory,descriptionCharacterLength,descriptionWordCount,experienceRequired,estimatedSalary,salaryCurrency,jobLanguage,supervisingJob,licenseRequiredJob,educationRequirements,jobAgeDays,clicks,localClicks
10000,11/16/16,company02808,job0003419,US,IL,Schaumburg,2.3,123,NA,day porter,sanitation,1261,189,0,21700,,EN,0,0,None,98,5,0
10001,11/4/16,company00588,job0003420,US,IN,West Lafayette,0,NA,NA,event specialist,hospitality,12881,1894,NA,27600,,EN,0,0,High School,86,28,2
10002,11/5/16,company00588,job0003420,US,IN,West Lafayette,0,NA,NA,event specialist,hospitality,12881,1894,NA,27600,,EN,0,0,High School,87,19,1
10003,11/6/16,company00588,job0003420,US,IN,West Lafayette,0,NA,NA,event specialist,hospitality,12881,1894,NA,27600,,EN,0,0,High School,88,9,0
10004,11/7/16,company00588,job0003420,US,IN,West Lafayette,0,NA,NA,event specialist,hospitality,12881,1894,NA,27600,,EN,0,0,High School,89,28,1
10005,11/8/16,company00588,job0003420,US,IN,West Lafayette,0,NA,NA,event specialist,hospitality,12881,1894,NA,27600,,EN,0,0,High School,90,2,0
10006,11/9/16,company00588,job0003420,US,IN,West Lafayette,0,NA,NA,event specialist,hospitality,12881,1894,NA,27600,,EN,0,0,High School,91,7,0
10007,11/10/16,company00588,job0003420,US,IN,West Lafayette,0,NA,NA,event specialist,hospitality,12881,1894,NA,27600,,EN,0,0,High School,92,1,0
10008,11/11/16,company00588,job0003420,US,IN,West Lafayette,0,NA,NA,event specialist,hospitality,12881,1894,NA,27600,,EN,0,0,High School,93,9,1
10009,11/5/16,company02809,job0003422,CA,BC,Vancouver,0,NA,NA,apprentice electrician,install,1738,272,NA,53600,,EN,0,1,None,87,16,2
10010,11/6/16,company02809,job0003422,CA,BC,Vancouver,0,NA,NA,apprentice electrician,install,1738,272,NA,53600,,EN,0,1,None,88,3,0
10011,11/7/16,company02809,job0003422,CA,BC,Vancouver,0,NA,NA,apprentice electrician,install,1738,272,NA,53600,,EN,0,1,None,89,21,0
10012,11/8/16,company02809,job0003422,CA,BC,Vancouver,0,NA,NA,apprentice electrician,install,1738,272,NA,53600,,EN,0,1,None,90,15,3
10013,11/2/16,company02810,job0003424,DE,BY,Weßling,0,NA,NA,fertigungsplaner,manufacturing,2402,313,NA,29800,,DE,NA,NA,,84,10,1
10014,11/3/16,company02810,job0003424,DE,BY,Weßling,0,NA,NA,fertigungsplaner,manufacturing,2402,313,NA,29800,,DE,NA,NA,,85,11,0
10015,11/4/16,company02810,job0003424,DE,BY,Weßling,0,NA,NA,fertigungsplaner,manufacturing,2402,313,NA,29800,,DE,NA,NA,,86,16,0
10016,11/5/16,company02810,job0003424,DE,BY,Weßling,0,NA,NA,fertigungsplaner,manufacturing,2402,313,NA,29800,,DE,NA,NA,,87,21,3
10017,11/10/16,company02812,job0003426,US,MD,Fort Meade,0,NA,NA,public affairs specialist,marketing,4015,617,3,53700,,EN,0,0,High School,92,18,3
10018,11/11/16,company02812,job0003426,US,MD,Fort Meade,0,NA,NA,public affairs specialist,marketing,4015,617,3,53700,,EN,0,0,High School,93,18,0
10019,11/12/16,company02812,job0003426,US,MD,Fort Meade,0,NA,NA,public affairs specialist,marketing,4015,617,3,53700,,EN,0,0,High School,94,14,0
10020,11/13/16,company02812,job0003426,US,MD,Fort Meade,0,NA,NA,public affairs specialist,marketing,4015,617,3,53700,,EN,0,0,High School,95,16,0
10021,11/14/16,company02812,job0003426,US,MD,Fort Meade,0,NA,NA,public affairs specialist,marketing,4015,617,3,53700,,EN,0,0,High School,96,9,3
10022,11/15/16,company02812,job0003426,US,MD,Fort Meade,0,NA,NA,public affairs specialist,marketing,4015,617,3,53700,,EN,0,0,High School,97,16,0
10023,11/16/16,company02812,job0003426,US,MD,Fort Meade,0,NA,NA,public affairs specialist,marketing,4015,617,3,53700,,EN,0,0,High School,98,6,3
10024,11/17/16,company02812,job0003426,US,MD,Fort Meade,0,NA,NA,public affairs specialist,marketing,4015,617,3,53700,,EN,0,0,High School,99,28,0
10025,11/6/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,88,28,2
10026,11/7/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,89,20,3
10027,11/8/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,90,24,0
10028,11/9/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,91,12,0
10029,11/10/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,92,20,0
10030,11/11/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,93,20,0
10031,11/12/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,94,26,2
10032,11/13/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,95,11,0
10033,11/14/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,96,16,3
10034,11/15/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,97,8,1
10035,11/16/16,company00977,job0003427,US,OH,London,3.1,3576,HEALTH_CARE,licensed practical nurse,mednurse,3868,634,NA,42000,,EN,0,1,None,98,19,0
10036,11/1/16,company02813,job0003428,US,FL,Sunny Isles Beach,4.7,29,NA,receptionist,admin,1065,168,NA,22800,,EN,0,0,None,83,22,3
10037,11/2/16,company02813,job0003428,US,FL,Sunny Isles Beach,4.7,29,NA,receptionist,admin,1065,168,NA,22800,,EN,0,0,None,84,10,0
10038,11/3/16,company02813,job0003428,US,FL,Sunny Isles Beach,4.7,29,NA,receptionist,admin,1065,168,NA,22800,,EN,0,0,None,85,21,0
10039,11/4/16,company02813,job0003428,US,FL,Sunny Isles Beach,4.7,29,NA,receptionist,admin,1065,168,NA,22800,,EN,0,0,None,86,27,0
10040,11/5/16,company02813,job0003428,US,FL,Sunny Isles Beach,4.7,29,NA,receptionist,admin,1065,168,NA,22800,,EN,0,0,None,87,18,3
10041,11/6/16,company02813,job0003428,US,FL,Sunny Isles Beach,4.7,29,NA,receptionist,admin,1065,168,NA,22800,,EN,0,0,None,88,10,3
10042,11/7/16,company02813,job0003428,US,FL,Sunny Isles Beach,4.7,29,NA,receptionist,admin,1065,168,NA,22800,,EN,0,0,None,89,12,0
10043,11/8/16,company02813,job0003428,US,FL,Sunny Isles Beach,4.7,29,NA,receptionist,admin,1065,168,NA,22800,,EN,0,0,None,90,17,3
